Дата;Цена;Откр;Макс;Мин;Объём;Изм. %
01.01.2013;1530.41;1530.41;1530.41;1530.41;;0,22%
08.01.2013;1576.1;1526.98;1582.35;1526.98;;2,99%
09.01.2013;1568.59;1576.1;1578.31;1564.09;;-0,48%
10.01.2013;1572;1568.59;1576.32;1568.59;;0,22%
11.01.2013;1571.73;1572;1575.42;1565.57;;-0,02%
14.01.2013;1590.21;1571.73;1594.17;1569.66;;1,18%
15.01.2013;1576.54;1590.21;1593.12;1576.54;;-0,86%
16.01.2013;1571.15;1576.54;1585.82;1562.16;;-0,34%
17.01.2013;1585.44;1571.15;1586.8;1571.13;;0,91%
18.01.2013;1603.5;1585.44;1605.68;1584.97;;1,14%
21.01.2013;1600.13;1603.44;1603.99;1594.09;;-0,21%
22.01.2013;1589.02;1600.13;1604.63;1580.8;;-0,69%
23.01.2013;1605.36;1589.02;1605.88;1587.88;;1,03%
24.01.2013;1604.65;1605.36;1605.36;1585.01;;-0,04%
25.01.2013;1618.84;1604.66;1620.43;1597.75;;0,88%
28.01.2013;1635.5;1618.84;1638.08;1615.04;;1,03%
29.01.2013;1623.87;1635.5;1637;1618.96;;-0,71%
30.01.2013;1618.77;1623.87;1636.03;1612.42;;-0,31%
31.01.2013;1622.13;1618.71;1623.63;1608.46;;0,21%
01.02.2013;1628.31;1621.71;1635.71;1620.31;;0,38%
04.02.2013;1612.52;1628.26;1637.62;1610.94;;-0,97%
05.02.2013;1614.09;1612.52;1617.26;1599.47;;0,10%
06.02.2013;1602.99;1614.09;1630.74;1599;;-0,69%
07.02.2013;1595.36;1602.99;1607.27;1592.43;;-0,48%
08.02.2013;1590.13;1595.36;1596.88;1577.74;;-0,33%
11.02.2013;1581.95;1590.13;1595.99;1581.7;;-0,51%
12.02.2013;1582.35;1581.95;1590.31;1574.3;;0,03%
13.02.2013;1612.65;1582.35;1615.58;1582.35;;1,91%
14.02.2013;1588.31;1612.55;1623.28;1582.85;;-1,51%
15.02.2013;1577.26;1588.31;1589.35;1567.81;;-0,70%
18.02.2013;1578.65;1577.26;1580.9;1566.41;;0,09%
19.02.2013;1592.74;1578.65;1593.38;1577.86;;0,89%
20.02.2013;1582.63;1592.74;1597.68;1582.24;;-0,63%
21.02.2013;1548.76;1582.63;1583.25;1545.4;;-2,14%
22.02.2013;1551.04;1545.59;1558.19;1544.36;;0,15%
25.02.2013;1565.07;1551.04;1567.29;1549.05;;0,90%
26.02.2013;1530.82;1565.07;1567.11;1524.46;;-2,19%
27.02.2013;1530.52;1531.66;1535.42;1525.56;;-0,02%
28.02.2013;1534.41;1530.38;1544.84;1529.76;;0,25%
01.03.2013;1509.8;1534.41;1537.27;1505.68;;-1,60%
04.03.2013;1498.79;1509.8;1514.95;1494.71;;-0,73%
05.03.2013;1523.34;1498.79;1525.49;1498.46;;1,64%
06.03.2013;1529.32;1523.34;1538.77;1523.34;;0,39%
07.03.2013;1532.09;1529.32;1536.3;1527.61;;0,18%
11.03.2013;1539.87;1532.09;1553.35;1531.83;;0,51%
12.03.2013;1542.55;1539.87;1545.76;1530.67;;0,17%
13.03.2013;1531.14;1542.55;1548.74;1528.93;;-0,74%
14.03.2013;1535.73;1531.14;1540.39;1524.95;;0,30%
15.03.2013;1537.66;1535.73;1556.58;1535.19;;0,13%
18.03.2013;1494.3;1537.66;1538.91;1477.81;;-2,82%
19.03.2013;1478.82;1494.3;1501.77;1477.7;;-1,04%
20.03.2013;1489.34;1478.82;1490.95;1465.86;;0,71%
21.03.2013;1485.73;1489.34;1496.06;1483.46;;-0,24%
22.03.2013;1470.91;1485.73;1487.06;1470.53;;-1,00%
25.03.2013;1458.8;1470.91;1493.82;1457.88;;-0,82%
26.03.2013;1445.46;1458.8;1461.76;1438.41;;-0,91%
27.03.2013;1446.04;1445.46;1455.63;1432.36;;0,04%
28.03.2013;1454.72;1446.04;1455.18;1435.14;;0,60%
29.03.2013;1460.04;1454.72;1460.31;1452.39;;0,37%
01.04.2013;1445.57;1460.04;1460.04;1444.98;;-0,99%
02.04.2013;1440.1;1445.57;1452.31;1437.41;;-0,38%
03.04.2013;1425.99;1440.1;1441.15;1424.42;;-0,98%
04.04.2013;1419.45;1425.99;1432.26;1408.16;;-0,46%
05.04.2013;1411.09;1419.45;1425.4;1404.22;;-0,59%
08.04.2013;1419.63;1411.09;1428.27;1411.09;;0,61%
09.04.2013;1439.46;1419.63;1441.66;1419.2;;1,40%
10.04.2013;1453.81;1439.46;1459.72;1439.46;;1,00%
11.04.2013;1433.08;1453.81;1457.05;1427.92;;-1,43%
12.04.2013;1405.47;1433.08;1433.87;1401.34;;-1,93%
15.04.2013;1366.53;1405.47;1409.29;1356.71;;-2,77%
16.04.2013;1356.65;1366.53;1373.77;1351.87;;-0,72%
17.04.2013;1327.92;1356.65;1369.69;1326.57;;-2,12%
18.04.2013;1327.55;1327.92;1346.53;1322.02;;-0,03%
19.04.2013;1336.46;1327.55;1349.71;1327.4;;0,67%
22.04.2013;1329.14;1336.46;1353.41;1316.77;;-0,55%
23.04.2013;1333.89;1329.14;1334.62;1314.12;;0,36%
24.04.2013;1375.4;1333.89;1376.36;1330.98;;3,11%
25.04.2013;1387.98;1375.4;1394.98;1373.15;;0,91%
26.04.2013;1382.22;1387.98;1388.35;1369.59;;-0,41%
29.04.2013;1387.54;1382.22;1389.89;1378.49;;0,38%
30.04.2013;1407.21;1387.54;1408.37;1379.76;;1,42%
02.05.2013;1387.47;1407.21;1407.29;1382.69;;-1,40%
03.05.2013;1429.86;1387.47;1429.86;1387.38;;3,06%
06.05.2013;1432.15;1429.86;1437.79;1425.21;;0,16%
07.05.2013;1451.84;1432.15;1454.06;1427.64;;1,37%
08.05.2013;1452.17;1451.84;1456.8;1439.91;;0,02%
10.05.2013;1429.78;1452.17;1457.3;1425.08;;-1,54%
13.05.2013;1422.29;1429.78;1433.48;1415.04;;-0,52%
14.05.2013;1412.69;1422.29;1431.68;1406.1;;-0,67%
15.05.2013;1391.01;1412.69;1426.85;1385.47;;-1,53%
16.05.2013;1380.58;1391.01;1397.47;1380.06;;-0,75%
17.05.2013;1405.34;1380.58;1409.01;1377.08;;1,79%
20.05.2013;1417.05;1405.34;1424.87;1405.34;;0,83%
21.05.2013;1433.02;1417.05;1437.11;1412.14;;1,13%
22.05.2013;1461.93;1433.02;1471.56;1431.37;;2,02%
23.05.2013;1400.84;1461.93;1463.84;1395.63;;-4,18%
24.05.2013;1388.52;1400.84;1413.73;1383.44;;-0,88%
