"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"19.11.2013","22,490","21,830","22,740","20,980","","2,98%"
"20.11.2013","22,770","22,480","22,980","22,280","","1,25%"
"21.11.2013","21,890","22,750","23,000","21,770","","-3,86%"
"22.11.2013","21,850","21,860","22,220","21,160","","-0,18%"
"25.11.2013","21,640","21,850","22,510","21,570","","-0,96%"
"26.11.2013","21,870","21,580","22,390","21,110","","1,06%"
"27.11.2013","23,410","21,860","23,410","21,170","","7,04%"
"28.11.2013","23,490","23,390","24,150","22,720","","0,34%"
"29.11.2013","23,800","23,500","24,430","23,070","","1,32%"
"02.12.2013","24,590","23,830","24,900","22,730","","3,32%"
"03.12.2013","25,240","24,590","26,490","24,100","","2,64%"
"04.12.2013","25,900","25,250","26,080","24,300","","2,61%"
"05.12.2013","26,150","25,890","26,260","24,260","","0,97%"
"06.12.2013","24,360","26,070","26,160","23,930","","-6,85%"
"09.12.2013","23,850","24,350","25,820","23,010","","-2,09%"
"10.12.2013","24,090","23,650","24,670","22,930","","1,01%"
"11.12.2013","23,560","24,090","24,790","22,500","","-2,20%"
"12.12.2013","23,450","23,610","25,950","23,100","","-0,47%"
"13.12.2013","22,640","23,450","24,840","22,000","","-3,45%"
"16.12.2013","22,430","22,640","24,250","22,060","","-0,93%"
"17.12.2013","19,990","22,420","22,550","19,720","","-10,88%"
"18.12.2013","20,800","19,990","21,070","19,870","","4,05%"
"19.12.2013","19,470","20,820","22,480","19,280","","-6,39%"
"20.12.2013","18,040","19,500","19,520","17,450","","-7,34%"
"23.12.2013","18,360","17,930","19,290","17,500","","1,77%"
"24.12.2013","17,750","18,360","18,890","17,330","","-3,32%"
"25.12.2013","18,940","17,700","19,370","17,610","","6,70%"
"26.12.2013","19,600","18,940","20,600","18,760","","3,48%"
"27.12.2013","19,360","19,600","20,580","18,970","","-1,22%"
"30.12.2013","20,480","19,360","21,310","19,220","","5,79%"
"06.01.2014","22,700","20,470","23,050","20,360","","10,84%"
"08.01.2014","19,400","22,690","22,960","18,790","","-14,54%"
"09.01.2014","18,850","19,530","23,190","18,510","","-2,84%"
"10.01.2014","20,560","18,830","20,580","17,180","","9,07%"
"13.01.2014","20,070","20,420","21,160","19,020","","-2,38%"
"14.01.2014","21,200","20,070","21,490","18,650","","5,63%"
"15.01.2014","21,140","21,220","21,460","20,160","","-0,28%"
"16.01.2014","20,360","21,200","21,420","19,670","","-3,69%"
"17.01.2014","20,340","20,360","20,850","19,620","","-0,10%"
"20.01.2014","20,980","20,310","21,660","19,810","","3,15%"
"21.01.2014","21,140","20,990","21,580","20,730","","0,76%"
"22.01.2014","20,490","21,140","21,280","20,200","","-3,07%"
"23.01.2014","20,240","20,480","21,230","20,170","","-1,22%"
"24.01.2014","22,000","20,180","22,090","20,120","","8,70%"
